Grammar,JLPT
敢えて,1
あげく,2
上げる,3
間,4
間に,4
あくまでも,1
あまり,3
あまりにも,3
あまり～ない,4
案の定,1
あらかじめ,1
あるいは,2
後で,4
あっての,1
合う,3
ば,4
ばいい,3
ばこそ,1
ばそれまでだ / たらそれまでだ,1
ばよかった,3
ば～ほど,3
ば～のに,3
場合は,4
ばかり,4
ばかり,4
ばかりだ,2
ばかりで,3
ばかりでなく,3
ばかりか,2
ばかりに,2
べからず / べからざる,1
べきだ,3
べきではない,3
べく,1
べくもない,1
べくして,1
別に～ない（べつに～ない）,3
びる / びて / びた,1
ぶり / っぷり,1
ぶりに,3
ぶる / ぶって / ぶった,1
ちゃいけない・じゃいけない,5
ちなみに,2
ちっとも～ない,2
中,3
だ / です,5
だけ,5
だけ,3
だけあって,2
だけで,4
だけでなく,3
だけましだ,2
だけに,2
だけのことはある,2
だけは,2
だけど,3
だに / だにしない,1
だの～だの,1
だらけ,3
だろう,5
だろうに,1
出す（だす）,4
だって,2
で,5
であれ / であろうと,1
であれ～であれ,1
でございます,4
でしかない,2
でも,4
でも,5
でもあり～でもある,1
でも何でもない / くも何ともない,1
でなくてなんだろう,1
でしょう,5
ではあるまいか,1
ではあるまいし,1
ではないか,4
では済まない,1
どころではない,2
どころか,2
どんな,5
どんなに～ても,3
どうにも～ない,1
どうやら,2
どうせ,2
どうして,5
どうしても,3
どうやって,5
得ない,2
得る,2
ふりをする,3
再び,2
ふと,3
ふうに,2
が,5
があります,5
が早いか,1
が必要,4
がほしい,5
がいます,5
がきっかけで / をきっかけに,2
がする,4
が/も～なら、～も～だ,1
がち,3
がましい,1
がり,4
がる / がっている,4
がたい,3
がてら,1
げ,2
気味,3
ごとに,3
ごとき / ごとく / ごとし,1
ございます,4
ぐるみ,1
逆に,2
始める,4
羽目になる,1
反面（はんめん）,2
果たして,2
はずだ,4
はずがない,4
必要がある,4
ほど,3
ほどのことではない,1
ほど～ない,3
ほうがいい,5
ほうがましだ,1
放題,1
い-adjectives,5
一番,5
一度に,3
一応,2
以外,2
以上に,2
以上は,2
いかんだ / いかんでは / いかんによっては,1
いかんにかかわらず / いかんによらず / いかんをとわず,1
いかなる,1
いかに,1
いかにも,1
いきなり,2
一気に,2
意向形 ,4
いくら～ても,3
一方だ,3
一方で（いっぽうで）,2
いらっしゃる,4
一緒に,5
いたします,4
いつも,5
一体,3
いわゆる,2
いよいよ,2
いずれにしても / いずれにしろ / いずれにせよ,1
じゃない,3
じゃない・ではない,5
じゃないか,4
じみた,1
上,2
か,5
かどうか,4
か否か,1
か何か,3
かのように,2
かしら,4
かと思いきや（かとおもいきや）,1
かと思ったら,2
か～か,5
か～ないかのうちに,2
かえって,2
限り,2
限りだ,1
かい,4
甲斐がある,2
甲斐もなく,1
かける,3
かもしれない,4
かな,4
かねない,2
かねる,2
可能性がある,1
から,5
からある / からする / からの,1
から言うと,2
からこそ,2
から見ると,2
からには,2
からして,2
からすると / からすれば,2
からと言って,2
から作る,4
から〜にかけて,3
かれ～かれ,1
方,5
かたがた,1
かたわら,1
かつて,1
代わりに,3
けど,5
結果,3
結局,3
けれども,5
決して～ない,3
嫌いがある,1
切れない,3
きり,3
切りがない,1
切る,3
きっての,1
きっと,4
極まる / 極まりない,1
っけ,3
っこない,2
込む,3
頃,4
こそ,3
こそあれ,1
こそすれ,1
こそ「～が・けれど」,1
こと,3
こと,4
ことだ,2
ことだから,2
ことがある,4
ことができる,4
ことごとく,1
ことか,2
ことから,3
ことこの上ない / この上ない / この上なく,1
こともあって,1
ことなく,2
ことなしに,1
ことに,2
ことになる,4
ことになっている,3
ことにする,4
ことにはならない,2
ことのないように,1
こととて,1
ことはない,3
ことは～が,3
くする,4
くらい / ぐらい,3
くらいなら,1
くらいのものだ,1
くせに,3
くせして,2
急に,4
まだ,5
まだ～ていません,5
まだしも,2
まで,5
までだ / までのことだ,1
までもない / までもなく,1
までに,4
前に,5
まい,2
まじき,1
まくる,1
まま,4
ままに,2
まみれ,1
まるで,3
まるっきり,1
まさか,3
ませんか,5
ましょう,5
ましょうか,5
または,4
全く～ない,2
めく,1
めったに～ない,3
みたいだ,4
みたいな,4
みたいに,4
も,4
も,5
も同然だ,1
もかまわず,2
もさることながら,1
もしないで,1
も当然だ,2
も～ば～も,3
もはや,1
もの / もん,2
ものだ,2
ものだから,2
もので,1
ものではない,2
ものがある,2
ものか / もんか,2
ものなら,2
ものを,1
ものと思われる / ものと見られる,1
ものとする,1
ものとして,1
ものの,2
もしかしたら,3
もしくは,1
もしも〜たら,3
もっとも,2
もう,5
もう少しで（もうすこしで）,2
向け,3
向き,3
むしろ,3
んばかりに,1
んがために,1
な,4
な-adjectives,5
なあ,5
など,4
ながら,4
ながらも,3
ながらに / ながらの,1
ないではいられない,2
ないことには～ない,2
ないことはない,3
ないまでも,1
ないものでもない,1
ないものか / ないものだろうか,1
ないとも限らない,1
ないで,5
ないでください,5
ないと,3
ないといけない,5
中を / 中では,2
なかなか,3
なかなか～ない,4
なければいけない,4
なければならない,4
なくてもいい,5
なくはない / なくもない,2
なくちゃ,5
なくしては,1
なくて済む,2
なくてはいけない,5
なくてはならない,5
並み,1
なんという / なんと / なんて,1
何も～ない,2
何しろ,1
なんか / なんて / など,3
なお,2
直す,3
なら,4
ならでは,1
ならいざしらず / はいざしらず,1
なり,1
なりに / なりの,1
なりとも,1
なり～なり,1
なる,5
なるべく,3
なさい,4
なさる,4
なしに / なしで,1
なぜなら,3
んだって,3
んです,5
ね,5
ねばならない,2
に,5
に,1
に値する,1
にあたって,2
にあって,1
に違いない,3
に反して,3
に引き換え,1
にほかならない,2
に行く,5
に至る / に至った,1
に至るまで,1
に至っても,1
に至っては,1
に言わせれば,1
に限らず,2
に限る,2
に限ったことではない,1
に限って,2
にかかっては / にかかったら / にかかると / かかれば,1
にかかっている,1
に関わらず,2
に関わる,2
にかけて,3
にかこつけて,1
にかまけて,1
に関する / に関して,3
に難くない（にかたくない）,1
にかわって / にかわり,3
に気がつく,4
に決まっている,2
に越したことはない（にこしたことはない）,2
に応えて,2
に比べて,3
に加えて,2
にまつわる,1
に見える,4
に基づいて,2
に向かって,2
に慣れる,3
に則って,1
において / における,3
に応じて,2
に際して,2
に先立ち,2
に先駆けて,1
にせよ/ にしろ,2
に忍びない,1
にしろ～にしろ,2
にしたところで / としたところで,1
にしたがって,3
にしたら / にすれば,2
にして,1
にしても,3
にしては,3
にしても～にしても,2
に即して,1
に沿って,2
に相違ない,2
に過ぎない,2
にする,4
にする,5
に耐える / に耐えない,1
に対して,3
に足らない / に足りない,1
に足る / に足りる,1
に照らして,1
にとどまらず,1
に伴って,2
にとって,3
について,3
につけ,2
につき,2
につれて,3
には,3
には無理がある,1
にわたって,2
によらず,1
によると /によれば,3
によって / による,3
に/へ,5
に～を重ねて（に～をかさねて）,1
にくい,4
にもほどがある,1
にも関わらず,2
にも増して,1
にて,2
には当たらない,1
には及ばない,1
の,5
のでしょうか,3
のです,5
のが下手,5
のが上手,5
のが好き,5
の至り,1
の極み,1
のももっともだ,2
の下で,2
の中で,4
の中で[A]が一番（のなかで[A]がいちばん）,5
のなんのって,1
の上では,2
のやら / ものやら / ことやら,1
のやら～のやら,1
ので,5
のみ,2
のみならず,2
のに,4
のに,4
のは〜だ,4
ぬ,2
抜きにして / 抜きで,2
抜く（ぬく）,2
お / ご,5
を,5
を中心に,3
を踏まえて,1
をはじめ,3
を経て,1
を控えて,1
をいいことに,1
を顧みず / も顧みず,1
を限りに,1
を兼ねて,1
を皮切りに,1
を契機に,2
を機に,1
を禁じ得ない,1
を込めて,3
をください,5
をめぐって,2
をものともせずに,1
をもとに,2
をもって / をもちまして,1
を除いて,2
をおいて～ない,1
を押して / を押し切って,1
を境に,1
を問わず,2
を通じて / を通して,3
を余儀なくされる,1
をよそに,1
を前提として,1
お～ください,4
お～願う,2
お～になる,4
おかげで,3
おきに,4
おまけに,2
思いをする,1
折に,1
恐らく,2
恐れがある,2
終わる,4
及び,2
およそ,1
っぱなし,3
っぽい,3
られる,4
らしい,4
ろくに～ない,2
さ,1
さ,4
さえ,3
さえ～ば,3
際に,3
最中に,3
幸いなことに,2
さっき,4
さも,1
さもないと,1
さらに,3
させられる,4
させる,4
させてください,4
さすが,4
さて,3
さぞ,1
せいで,3
せいか,2
せいぜい,3
せっかく,2
せめて,2
し,4
しばらく,3
次第（しだい）,2
次第で,2
次第に,2
しかも,2
しかない,3
しかし,5
始末だ,1
そばから,1
そびれる,1
損なう / 損ねる / 損じる,1
そんなに,4
そのために,3
その上,2
それでも,4
それから,5
それなのに,2
それなら,2
それに,4
それにしても,2
それとも,3
そして,5
そうだ,4
そうだ,4
そう言えば,2
そうもない /そうにない,3
そうに / そうな,4
そうすると,2
術がない,1
すでに,3
末に,2
すぎる,5
少しも～ない,2
少なくとも,2
すなわち,3
すら / ですら,1
数量 + は,3
たばかり,4
た弾みに / た拍子に（たはずみに / たひょうしに）,1
たことがある,5
たことにする / たことになる,1
たものだ,3
たところ,4
たところで,1
たとたん,3
たつもりはない,1
たびに,3
ただ～のみだ,1
直ちに,2
他動詞 & 自動詞,4
たがる,4
たい,5
たまえ,2
ために,3
ためしがない,1
たら,4
たらどう,4
たらいいですか,4
たら最後 / たが最後,1
たら～たで,1
たら～ところだ,1
たりとも,1
たり～たり,5
たるもの / たる,1
確かに（たしかに）,3
たて,3
たとえ～ても,3
例えば,3
たって,3
て / で,4
てあげる,4
てある,5
てばかりいる,3
てばかりはいられない,2
てでも,2
てごらん,3
てはじめて,3
てほしい,4
ていく,4
て以来,2
ている,5
ていた,4
ていただけませんか,4
ていては,2
て敵わない,1
てから,5
てからでないと,3
てからというもの,1
てこそ,2
てください,5
てくれる,4
てくる,4
てまで,2
てみる,4
てみせる,1
てもらう,4
てならない,2
ておく,4
てしかるべきだ,1
てしまう / ちゃう,4
てしょうがない・てしかたがない,3
てすみません,4
て済む,3
て済むことではない,1
てたまらない,2
て当然だ,2
てはいけない,5
てはいけないから,3
てやまない,1
てやる,4
てよかった,4
ている場合じゃない,3
ているところ,4
的,3
手前,1
ても,4
てもどうにもならない,1
ても始まらない,3
てもいいです,5
ても構わない,3
ても差し支えない,1
ても知らない,1
てもしょうがない / てもしかたがない,3
ては / では,2
てはいられない,2
てはならない,2
ては～ては,2
と,4
と,5
と相まって（とあいまって）,1
とあれば,1
とあって,1
とばかりに,1
と同時に,2
といえども,1
と言えば,3
と言えなくもない,1
といい / たらいい,3
といい～といい,1
といった,2
といったらない,1
といっても,3
と言ってもいい,4
という,1
という,4
というふうに,2
というか～というか,1
ということ,4
ということだ,3
ということは,2
というもの,1
というものだ,2
というものではない,2
というのは,3
と言うと,3
というところだ / といったところだ,1
というわけだ,1
というわけではない,1
というより,3
と言われている,4
といわず～といわず,1
と考えられる,2
と聞いた,4
ときている,1
とみえる / とみえて,3
とみると,1
と見るや,1
となると / となれば,1
と思う,4
とされる,1
とすれば・としたら・とすると,3
と共に,3
途中で/途中に,3
とか,2
とか～とか,4
とき,5
ときたら,1
とっくに,2
ところ,4
ところだった,2
ところで,3
ところが,3
ところに,2
ところを,1
ところを見ると,2
とも,2
ともあろうものが,1
ともなく / ともなしに,1
ともすれば,1
とも～とも,1
とおりに,3
通す,3
とりわけ,1
としたことが,1
として,3
として～ない,2
としても,2
とっさに,1
とて,1
とても,5
とても～ない,3
とは,1
とはいえ,1
とは限らない,3
とは比べものにならない,1
とは打って変わって / とは打って変わり,1
つ～つ,1
つい,3
ついに,3
ついでに,3
尽くす,1
つまり,3
つもり,5
つもりだった,3
つもりで,3
つつ,2
つつある,2
続ける,4
って,4
ってば / ったら,1
うちに,3
うちに入らない,1
上で,3
上に,3
上は,2
受身形,4
わ,1
は,5
は〜より・・・です,5
は別として,3
はどうであれ,1
はどうですか,5
はもちろん,3
はもとより,2
はおろか,1
はさておき,1
はそっちのけで / をそっちのけで,1
はともかく,2
は～で有名,3
は〜が… は,4
わ〜わで,1
わけだ,3
わけではない,3
わけがない,3
わけにはいかない,3
割に,3
わざと,3
わざわざ,3
わずかに,2
や,5
や否や,1
やしない,1
やがて,2
やら～やら,2
やれ～やれ,1
やすい,4
やっと,4
よ,5
よほど / よっぽど,2
より,4
より [2],2
より～ほうが,5
よりほかない,2
よりも,3
予定だ（よていだ）,4
ようだ,4
ようでは,2
ようではないか,2
ようが / ようと,1
ようがない,3
ようが～ようが / ようと～ようと,1
ようか～まいか,2
ような気がする,3
ように,3
ように / ような,4
ように見える,3
ようになる,4
ようにする,4
ようによっては / ようでは,1
ようにも～ない,1
要するに,2
ようと思う,4
ようとしない,3
ようとする,3
ようと～まいと / ようが～まいが,1
ゆえに,1
ざるを得ない,2
ぜひ,4
全然～ない,4
ぞ・ぜ,1
ずじまい,1
ずに済む ,2
ずにはおかない / ないではおかない,1
ずには済まない / ないでは済まない,1
ずとも,1
ずくめ,1
ずに,3
ずにはいられない,3
づらい,4
ずつ,3
